,id,track_name,n_citacores,size_bytes,prime_genre
7,284035177,Pandora - Music & Radio,1126879,130242560,Music
178,324684580,Spotify Music,878563,132510720,Music
18,284993459,"Shazam - Discover music, artists, videos & lyrics",402925,147093504,Music
35,290638154,iHeartRadio – Free Music & Radio Stations,293228,116443136,Music
82,302584613,"Kindle – Read eBooks, Magazines & Textbooks",252076,169747456,Book
238,336353151,SoundCloud - Music & Audio,135744,105009152,Music
713,421254504,Magic Piano by Smule,131695,55030784,Music
1229,509993510,Smule Sing!,119316,109940736,Music
701,418987775,TuneIn Radio - MLB NBA Audiobooks Podcasts Music,110420,101735424,Music
1236,510855668,Amazon Music,106235,77778944,Music
